date,AAPL,AMD,AMZN,AXISBANK.NS,BAC,BAJFINANCE.NS,GOOGL,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JPM,LT.NS,META,MSFT,NVDA,ONGC.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,TSLA,WIPRO.NS
2023-05-30,0.192132,-3.948782,-0.580207,0.714442,-0.211863,0.831898,-1.567973,0.606729,0.192827,0.039542,0.486596,0.673002,2.018141,0.482459,-0.860984,-1.029222,-1.199182,-1.192268,-0.532242,-0.025783,-0.36975,0.036198,-0.954232,0.529734,0.625
2023-05-31,-0.045115,-3.43898,-0.71634,-2.400384,-1.103201,-0.21485,0.097762,0.907642,-1.168786,0.414071,-0.036859,-0.117432,-0.845762,-0.745988,0.206706,1.815385,-1.173672,-4.188613,-2.57862,-1.204008,-0.676604,-0.589302,0.74041,2.077282,0.472929
2023-06-01,1.344963,1.858641,1.723419,-0.249456,0.072048,0.234904,0.732781,-0.531357,-0.981544,1.158602,-1.90202,-0.230619,-1.633113,0.776441,-0.414973,2.523502,2.040314,3.328229,-0.678735,-0.681418,0.163288,0.30175,0.141681,2.43349,0.530863
2023-06-02,-0.044193,-2.393374,-0.536342,0.373918,1.953122,-0.732784,0.548432,-0.953828,-0.369001,0.247231,-0.514313,-0.763942,0.772723,0.652052,0.610088,-0.018345,0.344052,-1.920344,-0.19355,-0.639422,0.42757,-0.620816,1.118371,1.817753,-0.917543
2023-06-05,-1.670045,1.14933,1.572635,2.506468,-0.971543,-0.379065,1.612773,-0.498247,-0.625579,-0.76018,0.397667,0.038344,-0.97753,-0.728002,1.037864,0.403266,0.214785,0.673369,-0.064313,0.407343,-0.220899,-0.787333,-0.671306,-0.087237,-1.149421
2023-06-06,-0.42229,5.36002,1.231311,1.797922,2.705553,1.266195,1.031661,-0.123896,-0.513171,-0.327781,-0.464873,-0.744993,0.453723,0.475918,0.394445,0.362768,-0.492051,-0.453264,-1.189715,-0.165098,-0.450684,-1.454267,0.716545,2.391967,-0.842939
2023-06-07,-0.347453,-4.998788,-4.550822,0.390564,0.614336,-0.562501,-3.520518,-0.418945,0.265053,0.973976,-0.439452,-0.120112,-0.011257,0.816911,1.646181,-2.970518,-2.493589,-3.700379,0.16276,0.448334,0.204084,0.673222,0.412779,-1.504383,0.099402
2023-06-08,1.500851,2.324598,1.008046,-1.125329,-0.170769,-0.987287,-0.073635,-0.203715,0.339931,-1.001112,0.138805,-0.264337,-0.628226,0.042651,1.007795,1.51945,0.407485,2.083552,1.035603,-0.253393,-0.245786,-0.752838,-1.028584,4.745339,-1.125963
2023-06-09,-0.297517,1.092497,-0.523857,0.801448,0.239725,0.347938,-0.016357,-1.713752,-0.327994,-1.961732,-0.355857,-1.290452,0.758357,0.470245,0.767591,0.941025,0.553869,-0.683962,-1.563495,-0.9992,-1.581631,-1.100153,-0.475779,-1.87498,-0.538246
2023-06-12,1.390185,0.521318,2.056122,0.123331,-0.580205,0.674454,0.692238,2.399036,-0.72866,-0.058603,-0.218549,1.448759,-0.693181,-0.049626,-1.059199,1.452249,0.995197,0.719382,0.129155,0.349422,-0.232754,0.992221,-1.121332,0.762281,-1.050521
2023-06-13,0.27899,-5.887249,-1.13955,1.185465,0.926881,0.940139,-0.920148,-1.192183,0.842716,1.760717,0.817391,0.380795,0.99773,1.096248,0.364465,-1.29511,-0.053814,2.080323,0.289946,1.036065,-0.526359,-0.500001,1.839229,2.0512,-0.603097
2023-06-14,0.316301,0.632264,-0.220994,-0.841784,-1.521809,-1.185605,0.463038,-0.18893,-0.540219,1.038937,-0.660642,-0.455464,-0.392154,-1.05594,0.091383,0.536979,0.89729,5.32285,1.121076,1.223724,-0.077992,0.226596,-0.443491,-1.299152,0.037856
2023-06-15,1.114366,-0.91714,1.517452,-1.133197,1.626302,0.44538,1.583561,0.315787,-1.368451,-0.893532,-1.498888,-0.552564,0.696631,1.77822,0.267518,3.499816,3.146852,0.11971,0.095234,0.029397,-1.649306,-0.8936,-0.104775,3.019324,-2.052378
2023-06-16,-0.969313,-4.562071,-1.738314,-0.127188,-1.151372,0.463041,-1.905822,-0.156526,0.982892,0.96479,0.527281,0.361307,0.913144,0.146796,0.129034,-1.316945,-2.558926,-1.744533,-0.789889,0.671828,0.43956,-0.691276,1.459578,0.625674,-1.102321
2023-06-20,0.325357,-0.134349,0.648154,0.921369,-0.48259,-1.726508,0.138289,3.146516,0.208832,0.228468,0.499482,0.726432,-0.428753,-0.056098,0.720948,2.009104,-0.371345,1.883803,-0.190418,0.374862,-0.254892,0.426259,0.043733,4.952204,0.183345
2023-06-21,-0.508376,-5.384418,-0.644697,-1.257282,-0.729677,-0.946393,-1.511437,-0.387238,1.21287,-0.348102,-0.355602,-0.046154,-1.095137,-0.405869,0.522668,-0.666591,-0.835389,-1.048255,2.038215,0.285497,-0.185063,0.252306,-0.097508,-5.695494,0.325309
2023-06-22,1.774243,-1.372061,3.862418,0.457282,-1.89474,-2.362469,2.625001,-0.576849,0.219511,-0.535844,0.146038,-0.608808,-0.078122,-1.918344,0.904113,2.078264,1.673051,1.827097,-0.780275,-0.80204,-0.600329,-0.659509,-0.159664,5.518994,-0.958552
2023-06-23,0.608995,0.640385,0.170398,-0.166664,0.03605,-0.445801,0.790904,0.279714,0.363345,-0.365856,-0.275362,-0.897015,-0.614524,0.223771,-1.215399,2.56474,0.197393,-0.600511,-1.320759,-0.559526,-1.31673,-0.647143,-1.121955,-1.037449,-0.614694
2023-06-26,-0.834982,-3.100491,-1.546432,0.109431,1.043169,0.124463,-2.00398,0.021418,-0.574465,0.376595,0.037756,0.007871,-0.268514,0.230437,-0.85693,-3.543474,-1.534219,-4.307479,-0.063698,-0.456722,0.188847,-0.478942,1.108847,-3.606992,0.23684
2023-06-27,1.167356,1.676338,0.427573,0.646329,0.498218,-0.152918,1.067646,0.257069,0.952556,-0.028279,0.655911,-0.066404,-0.224166,0.143883,0.025136,1.787163,0.816616,2.63977,-0.629525,-0.004005,1.406176,-0.145219,0.090816,2.865483,-0.429406
2023-06-28,0.702393,1.811292,0.077548,-0.081715,-0.637169,0.5082,2.638999,-0.272696,0.368265,0.312861,-0.693855,0.259688,0.97753,-0.409606,0.893748,0.165017,0.355585,1.123957,0.443457,0.656586,-0.428137,0.23223,1.105179,2.61914,-0.534199
2023-06-30,1.221101,0.778559,0.687417,1.059261,-0.863856,0.853521,-0.391114,1.503822,-0.152581,0.457621,-0.627328,2.086841,0.355559,0.58091,2.295457,0.779604,0.826057,1.492317,-0.434781,0.15119,-0.200353,2.554348,0.054166,0.448957,1.07792
2023-07-03,-0.681181,0.573112,-0.45865,-0.797982,1.74216,2.407618,0.553509,-0.705884,0.42628,0.52289,0.592315,0.278192,2.579715,0.287296,-0.974494,-0.23719,-0.353788,-0.244608,1.621953,2.25367,1.906007,-1.267236,-0.386874,1.20439,-0.583901
2023-07-05,-0.125283,-1.851853,0.107493,-0.257998,-0.205901,-0.522845,2.105,0.067006,-2.502546,2.070414,1.693117,-0.776958,1.876273,-0.206984,0.398214,2.336173,0.913187,0.431952,0.493829,-0.939058,0.135637,-0.001507,0.808133,1.312676,-0.050752
2023-07-06,1.037717,1.258146,0.08577,2.075964,-1.805551,-0.125383,0.258763,-1.184301,0.119546,-0.101446,0.492303,0.100553,-0.722739,0.13285,0.830598,-1.318066,1.176994,0.618963,1.597046,2.433959,0.355687,0.494469,0.206448,-0.557369,0.430928
2023-07-07,-0.381386,-0.867209,0.925424,0.046096,0.812726,-1.264898,-0.516232,-1.744264,-0.276275,-1.997748,-0.692547,-0.284861,-0.972516,0.298793,-1.345279,-0.564718,-0.618887,0.427673,-1.208459,-0.053132,0.610165,0.825257,0.127389,-1.436627,0.215191
2023-07-10,-0.34344,0.513276,-1.503068,-1.29518,0.24484,-1.168927,-1.563826,-3.060345,-0.273934,-1.968702,0.253702,-0.553666,-0.882978,0.449823,-0.459184,-0.490605,-0.82786,-1.118225,-0.701644,1.716315,-0.344749,-1.588091,-3.469095,-2.481288,-1.490462
2023-07-11,-0.570946,-0.304499,0.806261,-1.518753,1.256108,-1.625477,0.73093,-1.488843,-0.87793,1.031196,-0.363772,1.136152,1.534338,0.738009,1.117608,1.49371,0.425906,-0.178904,0.826956,0.428637,-1.084036,-0.685891,0.808071,0.424349,0.525638
2023-07-12,0.047454,1.497035,0.376031,-0.700325,-0.508301,-0.508037,0.109425,-0.817174,-1.35319,-1.15714,-0.421763,-1.310137,-1.140759,0.474735,-1.022058,2.515326,0.178255,2.019379,1.024403,0.052418,0.042445,-0.641584,-0.561978,-1.570585,-0.520434
2023-07-13,0.020994,0.138214,0.193979,0.402597,0.508129,0.062253,2.985199,0.800004,-0.94163,-1.12665,0.844149,2.262338,-0.400926,0.114323,-0.642745,-0.066957,0.912948,3.277325,-0.503997,-1.469164,-1.554883,1.721987,-0.937714,1.205433,0.625235
2023-07-14,0.241816,-0.197982,0.462476,-0.767279,-2.966665,0.111715,0.496791,3.298331,-0.550313,0.824855,0.031257,3.281058,-0.021146,-1.174529,0.897868,-0.936532,-0.676086,-2.391427,0.147929,-0.338176,-0.400507,4.447248,-1.23155,1.577559,2.609243
2023-07-17,1.089115,2.043987,-0.743163,0.505206,0.857633,-0.12035,-1.024298,0.156261,1.751517,0.4382,0.602346,-0.210386,-0.453112,2.015297,-0.250503,1.001491,0.01447,0.371572,-0.834332,1.809245,2.40204,-0.521369,-1.190555,1.308307,2.027027
2023-07-18,0.196529,0.323264,0.090419,-0.036305,2.333336,-1.329787,-0.674154,0.711851,-1.207303,-0.1024,-0.260735,2.873079,-0.010583,0.182552,0.230861,0.376346,3.949919,1.698035,0.300481,0.12247,-1.774316,0.59983,-1.219733,1.099432,-0.191385
2023-07-19,1.035733,-4.014841,1.476873,0.031119,2.071872,1.918175,-2.0626,0.347644,0.237939,-0.415615,-0.668366,-0.74361,1.290329,0.981997,0.790019,0.951989,-1.843819,-0.815357,-0.269137,0.418726,1.143528,-0.855713,-0.480057,-1.614646,-0.488092
2023-07-20,-1.00466,-4.097076,-3.065563,1.452433,1.14906,0.603893,-1.828365,-0.362065,0.45207,1.281353,2.00297,-1.461591,2.552616,1.048337,-0.172416,-3.502396,-1.894961,-2.12226,0.119759,1.544577,1.438304,0.295385,-0.431342,-5.959366,-0.203108
2023-07-21,-1.11283,-0.018027,-1.02025,-0.030876,0.345148,-0.19548,-0.497435,0.490987,-0.252976,-1.735849,0.170804,0.863507,-0.2745,-0.545575,2.547581,-3.385099,-1.540886,-3.230104,1.912158,-2.692603,0.836062,-1.05022,-0.483155,-2.977616,-0.074071
2023-07-24,-0.341246,-0.009042,-1.158771,-0.20032,2.031255,-0.00066,-0.106859,-0.633926,-0.005956,-0.912058,-1.288623,-0.328115,-4.478671,1.955216,-1.228363,-1.409836,-0.213972,-0.266034,-0.378674,0.257957,0.422736,0.406684,0.040294,5.163178,-0.553778
2023-07-25,0.149999,1.673565,-0.139195,-1.549637,-1.862017,-0.56148,0.700394,-0.621364,0.709343,-0.46702,-0.430429,-0.179508,-1.196832,-0.305147,-2.106273,-0.243911,1.114928,1.642151,0.581395,-0.328787,-1.962048,0.048562,1.644295,-2.606655,-1.257708
2023-07-26,0.428565,-1.626313,1.296334,1.029116,0.52729,-2.643746,-0.615056,0.432359,-0.523654,0.147317,0.337331,0.43559,1.580984,0.67002,2.132381,-0.869881,-1.074863,-1.236393,-0.517693,1.657946,0.51471,-0.354377,-1.200361,0.417856,-0.185874
2023-07-27,-1.428427,-0.617231,-2.099237,-2.976697,-1.48011,-3.877064,-1.72401,0.21076,-1.573622,0.345572,-1.22687,-0.401145,-1.970912,-1.10921,-0.327844,-4.124632,-2.866544,-1.330638,-1.412509,-1.237154,0.024329,0.057437,-0.393167,-4.696057,-1.002472
2023-07-28,0.595882,-0.370434,1.943098,-1.036568,-0.777611,0.855301,1.37636,-0.942507,-1.083358,0.568097,0.829961,-0.986075,0.160355,-0.235246,-0.398468,2.713963,1.408572,0.175711,0.644409,0.62897,-0.056787,-0.874449,-0.703087,2.532139,-0.573492
2023-07-31,0.198918,0.210229,0.360357,-0.083795,0.313481,-0.608573,-0.00753,0.785194,0.069689,-0.553387,0.230922,0.515288,-0.703623,0.496255,0.992471,-1.572491,-0.296806,-0.053475,2.459491,0.846565,0.575689,1.695698,1.832205,-0.0187,1.325826
2023-08-01,-0.321038,2.923154,-1.392737,0.407952,-0.690953,-0.419169,0.588778,1.651786,0.471459,-0.735405,-0.708834,0.234945,-0.257508,-0.158801,-0.548239,1.628136,0.343087,0.101164,0.798627,-1.63601,-1.346346,1.084921,-0.758722,-1.949223,0.357586
2023-08-02,-1.261275,-8.486065,-1.490578,-0.656858,0.096279,-1.187247,-0.826568,-0.536497,-0.091352,1.219462,0.172546,-0.909229,-0.968578,-0.102857,-0.600838,-1.160378,-1.837366,-3.408174,-0.593222,-0.910643,-1.869306,0.16594,-0.948214,-0.571275,-0.763736
2023-08-03,-0.208806,3.854984,1.121745,-0.905623,1.519067,-0.928917,0.375085,-0.044405,-0.692072,-0.25997,-1.182734,1.059263,-0.880237,0.870972,-0.646268,1.051854,0.202455,1.63242,-1.797429,0.024234,-1.369636,-0.586259,-1.220234,2.888436,-0.584579
2023-08-04,-1.902759,1.170507,-1.056281,0.554382,-0.191331,0.135869,-0.905011,1.229601,1.042713,-0.207739,0.190985,0.690332,-0.295863,-0.24296,0.840687,-1.343022,-1.235388,-0.678004,0.0,0.430206,-3.61466,1.243662,-0.532545,-2.724451,1.995759
2023-08-07,-1.800911,0.386728,0.872399,-0.509317,1.496337,-0.556407,1.83493,-0.324802,-0.712523,1.149604,0.484063,0.36746,0.176171,0.102164,0.300605,1.063112,0.529887,0.678326,-0.77453,0.113054,-1.577119,0.871469,-0.525689,0.0,0.292714
2023-08-08,0.061217,-1.487732,-0.483568,0.305266,-0.095843,0.540993,0.597151,-1.173266,-0.108974,-0.130385,0.425316,-0.190259,-1.017509,1.010885,-0.259567,-0.55979,-0.278323,-0.421375,0.260273,-0.765431,0.367772,-0.386044,0.111378,0.909275,0.957811
