Stock,Start_Price,End_Price,Growth_Pct
AMD,78.21,518.09,562.43
NVDA,37.47,235.74,529.06
GOOGL,116.45,402.62,245.74
TSLA,142.05,489.88,244.86
META,262.52,790.0,200.93
JPM,135.69,334.61,146.6
AMZN,119.57,274.99,129.98
BAC,25.17,57.25,127.45
SBIN.NS,547.0,1227.8,124.46
ONGC.NS,153.65,341.75,122.42
TCS.NS,2246.0,4553.75,102.75
LT.NS,2205.65,4418.1,100.31
AAPL,165.0,312.51,89.4
INFY.NS,1095.0,1999.7,82.62
HCLTECH.NS,1103.55,1995.1,80.79
ITC.NS,286.9,503.36,75.45
MSFT,312.14,542.07,73.66
BAJFINANCE.NS,631.13,1094.15,73.37
WIPRO.NS,187.54,320.1,70.68
ICICIBANK.NS,908.65,1488.6,63.83
TITAN.NS,2802.5,4525.9,61.5
AXISBANK.NS,914.85,1403.0,53.36
HINDUNILVR.NS,2052.2,3028.55,47.58
HDFCBANK.NS,692.03,1012.9,46.37
RELIANCE.NS,1113.25,1600.9,43.8
