Stock,Average_Close_Price,Highest_Price,Lowest_Price,Total_Volume
TCS.NS,3535.13,4553.75,2246.0,1954993977
TITAN.NS,3532.63,4525.9,2802.5,775215894
LT.NS,3492.82,4418.1,2205.65,1656077940
HINDUNILVR.NS,2457.9,3028.55,2052.2,1316359444
INFY.NS,1563.47,1999.7,1095.0,5834490300
HCLTECH.NS,1514.19,1995.1,1103.55,2230796309
RELIANCE.NS,1365.12,1600.9,1113.25,9690363253
ICICIBANK.NS,1215.33,1488.6,908.65,10339157626
AXISBANK.NS,1135.21,1403.0,914.85,6295717169
HDFCBANK.NS,857.17,1012.9,692.03,24811973614
BAJFINANCE.NS,811.77,1094.15,631.13,7690363715
SBIN.NS,799.35,1227.8,547.0,10847504754
META,539.73,790.0,262.52,12347375519
MSFT,418.69,542.07,312.14,18191832977
ITC.NS,414.11,503.36,286.9,11883149190
TSLA,299.4,489.88,142.05,73148216171
ONGC.NS,245.35,341.75,153.65,11273993825
WIPRO.NS,242.6,320.1,187.54,10285360001
JPM,232.34,334.61,135.69,7032624463
AAPL,219.22,312.51,165.0,41184296930
GOOGL,195.72,402.62,116.45,23540931222
AMZN,192.59,274.99,119.57,34320965643
AMD,162.59,518.09,78.21,38452015667
NVDA,122.08,235.74,37.47,237768567010
BAC,41.58,57.25,25.17,30120760331
