Date,Stock,Volume,Avg_Volume,Volume_Ratio
2025-05-28,ITC.NS,431851622,63051976.0,6.85
2026-01-01,ITC.NS,282626710,63051976.0,4.48
2024-08-30,HDFCBANK.NS,445342100,119804053.0,3.72
2026-04-22,HCLTECH.NS,33066256,9027594.0,3.66
2024-11-25,HDFCBANK.NS,427737274,119804053.0,3.57
2026-05-29,HINDUNILVR.NS,17701621,5293971.0,3.34
2024-06-04,SBIN.NS,122381193,42034770.0,2.91
2026-05-29,INFY.NS,69085430,23943711.0,2.89
2024-01-15,WIPRO.NS,127844264,46059400.0,2.78
2025-09-26,TITAN.NS,7524068,3287033.0,2.29
2024-05-03,BAJFINANCE.NS,68186010,29897673.0,2.28
2024-07-23,TITAN.NS,7159507,3287033.0,2.18
2026-05-29,TCS.NS,16331582,7578173.0,2.16
2026-01-29,MSFT,128855300,61018778.0,2.11
2024-05-06,TITAN.NS,6891728,3287033.0,2.1
2024-04-25,AXISBANK.NS,46136295,22115528.0,2.09
2024-06-05,HINDUNILVR.NS,11061076,5293971.0,2.09
2024-09-20,AAPL,318679900,154017443.0,2.07
2024-06-21,WIPRO.NS,95171176,46059400.0,2.07
2025-10-06,AMD,248859600,125297377.0,1.99
2024-04-26,BAJFINANCE.NS,58147230,29897673.0,1.94
2024-05-09,LT.NS,12120574,6325807.0,1.92
2026-02-13,INFY.NS,45785709,23943711.0,1.91
2023-07-21,INFY.NS,45548305,23943711.0,1.9
2025-01-30,BAJFINANCE.NS,56488830,29897673.0,1.89
2025-10-30,META,88440100,46842268.0,1.89
2026-01-02,ITC.NS,118790358,63051976.0,1.88
2023-05-31,ONGC.NS,83741017,44532752.0,1.88
2024-09-20,ICICIBANK.NS,73257767,40030018.0,1.83
2024-02-02,META,84707600,46842268.0,1.81
2026-05-11,TITAN.NS,5925166,3287033.0,1.8
2026-05-29,WIPRO.NS,82734524,46059400.0,1.8
2024-04-16,ONGC.NS,79082544,44532752.0,1.78
2024-07-12,TCS.NS,13509164,7578173.0,1.78
2024-04-25,META,82890700,46842268.0,1.77
2024-02-08,SBIN.NS,74222434,42034770.0,1.77
2024-06-05,SBIN.NS,74256082,42034770.0,1.77
2026-04-24,INFY.NS,42078914,23943711.0,1.76
2025-01-14,HCLTECH.NS,15819311,9027594.0,1.75
2026-04-17,WIPRO.NS,80542603,46059400.0,1.75
2024-10-24,HINDUNILVR.NS,9216267,5293971.0,1.74
2023-09-20,RELIANCE.NS,57081884,32745293.0,1.74
2024-06-21,ICICIBANK.NS,69259425,40030018.0,1.73
2025-07-18,AXISBANK.NS,38053695,22115528.0,1.72
2026-03-13,LT.NS,10778730,6325807.0,1.7
2024-04-15,ONGC.NS,75063828,44532752.0,1.69
2024-03-13,ITC.NS,105525827,63051976.0,1.67
2026-05-29,ONGC.NS,74403401,44532752.0,1.67
2024-03-15,ICICIBANK.NS,66192734,40030018.0,1.65
2026-01-28,ONGC.NS,73427983,44532752.0,1.65
2024-07-22,WIPRO.NS,76014568,46059400.0,1.65
2025-05-07,GOOGL,127490100,77926533.0,1.64
2024-06-05,LT.NS,10372458,6325807.0,1.64
2025-07-15,HCLTECH.NS,14685607,9027594.0,1.63
2024-06-04,ONGC.NS,72779900,44532752.0,1.63
2024-07-08,TITAN.NS,5323920,3287033.0,1.62
2024-10-18,WIPRO.NS,74653054,46059400.0,1.62
2024-06-07,WIPRO.NS,72672440,46059400.0,1.58
2024-06-21,AAPL,241805100,154017443.0,1.57
2026-02-06,AMZN,179210900,114176079.0,1.57
2023-05-31,AXISBANK.NS,34757004,22115528.0,1.57
2025-04-09,BAC,161173500,102897738.0,1.57
2024-06-04,LT.NS,9920882,6325807.0,1.57
2026-05-29,BAJFINANCE.NS,46752428,29897673.0,1.56
2024-05-07,HINDUNILVR.NS,8277810,5293971.0,1.56
2026-05-25,WIPRO.NS,72041558,46059400.0,1.56
2024-05-31,INFY.NS,37113815,23943711.0,1.55
2025-01-17,AXISBANK.NS,33831617,22115528.0,1.53
2024-06-03,SBIN.NS,64269020,42034770.0,1.53
2023-11-16,BAJFINANCE.NS,45570430,29897673.0,1.52
2024-01-31,LT.NS,9637606,6325807.0,1.52
2025-01-20,AXISBANK.NS,33440507,22115528.0,1.51
2025-03-21,ICICIBANK.NS,60494318,40030018.0,1.51
2026-05-06,LT.NS,9540104,6325807.0,1.51
2023-08-24,NVDA,1156044000,766450193.0,1.51
2024-07-25,AXISBANK.NS,32979871,22115528.0,1.49
2024-03-08,NVDA,1142269000,766450193.0,1.49
2024-06-04,HINDUNILVR.NS,7826048,5293971.0,1.48
2024-08-07,ONGC.NS,66110716,44532752.0,1.48
2026-03-02,ONGC.NS,65843426,44532752.0,1.48
2025-04-23,HCLTECH.NS,13293318,9027594.0,1.47
2026-02-13,TCS.NS,11168735,7578173.0,1.47
2025-10-31,AMZN,166340800,114176079.0,1.46
2024-12-20,ICICIBANK.NS,58491181,40030018.0,1.46
2025-02-03,BAJFINANCE.NS,43369260,29897673.0,1.45
2023-09-15,HDFCBANK.NS,173411202,119804053.0,1.45
2024-05-31,TCS.NS,10956800,7578173.0,1.45
2026-05-08,TITAN.NS,4777990,3287033.0,1.45
2026-03-19,HDFCBANK.NS,171637393,119804053.0,1.43
2026-02-04,TCS.NS,10852595,7578173.0,1.43
2026-01-19,WIPRO.NS,65833247,46059400.0,1.43
2024-01-17,HDFCBANK.NS,170145236,119804053.0,1.42
2023-10-26,META,66684100,46842268.0,1.42
2024-12-20,JPM,32348400,23091550.0,1.4
2026-02-12,TCS.NS,10612156,7578173.0,1.4
2023-07-04,BAJFINANCE.NS,41622080,29897673.0,1.39
2024-01-30,BAJFINANCE.NS,41531470,29897673.0,1.39
2025-06-27,GOOGL,108140200,77926533.0,1.39
2023-08-02,AMD,173372000,125297377.0,1.38
2026-05-29,HCLTECH.NS,12446602,9027594.0,1.38
2025-07-30,LT.NS,8760659,6325807.0,1.38
2026-04-10,TCS.NS,10480239,7578173.0,1.38
2024-11-06,TITAN.NS,4522923,3287033.0,1.38
2025-10-08,TITAN.NS,4531362,3287033.0,1.38
2025-07-11,HINDUNILVR.NS,7242235,5293971.0,1.37
2024-04-12,JPM,31532300,23091550.0,1.37
2023-07-27,META,64229200,46842268.0,1.37
2026-05-19,TCS.NS,10394707,7578173.0,1.37
2023-07-13,HCLTECH.NS,12294227,9027594.0,1.36
2026-03-27,ONGC.NS,60048871,44532752.0,1.35
2023-08-04,AMZN,153128500,114176079.0,1.34
2024-01-18,HDFCBANK.NS,161070930,119804053.0,1.34
2026-05-19,INFY.NS,32175705,23943711.0,1.34
2026-03-16,LT.NS,8459233,6325807.0,1.34
2024-06-21,AXISBANK.NS,29311314,22115528.0,1.33
2025-04-07,BAC,137329100,102897738.0,1.33
2025-04-30,BAJFINANCE.NS,39690570,29897673.0,1.33
2025-09-03,GOOGL,103336100,77926533.0,1.33
2025-04-24,HINDUNILVR.NS,7065430,5293971.0,1.33
2024-06-06,LT.NS,8374602,6325807.0,1.32
2025-06-05,TSLA,287499800,218354875.0,1.32
2023-05-31,NVDA,1002580000,766450193.0,1.31
2023-12-20,ONGC.NS,57762576,44532752.0,1.3
2024-01-15,ONGC.NS,57884916,44532752.0,1.3
2026-05-29,RELIANCE.NS,42634247,32745293.0,1.3
2024-06-12,AAPL,198134300,154017443.0,1.29
2023-12-15,MSFT,78502300,61018778.0,1.29
2025-10-08,AMD,159983500,125297377.0,1.28
2026-01-29,META,59852900,46842268.0,1.28
2024-04-29,HCLTECH.NS,11493223,9027594.0,1.27
2024-01-23,ICICIBANK.NS,50797448,40030018.0,1.27
2023-10-13,JPM,29427000,23091550.0,1.27
2026-03-09,ONGC.NS,56512457,44532752.0,1.27
2024-08-30,RELIANCE.NS,41620730,32745293.0,1.27
2026-05-29,MSFT,77168677,61018778.0,1.26
2023-07-21,NVDA,963769000,766450193.0,1.26
2024-07-19,INFY.NS,29819116,23943711.0,1.25
2026-04-28,RELIANCE.NS,41027699,32745293.0,1.25
2023-08-04,SBIN.NS,52725616,42034770.0,1.25
2024-08-02,AMZN,141448400,114176079.0,1.24
2024-09-10,JPM,28406900,23091550.0,1.23
2023-09-12,LT.NS,7788759,6325807.0,1.23
2025-10-31,META,56953200,46842268.0,1.22
2024-01-29,ONGC.NS,54127939,44532752.0,1.22
2026-04-24,HCLTECH.NS,10903519,9027594.0,1.21
2024-03-15,ITC.NS,76074975,63051976.0,1.21
2024-10-31,LT.NS,7637083,6325807.0,1.21
2026-03-04,LT.NS,7635350,6325807.0,1.21
2023-08-25,NVDA,925341000,766450193.0,1.21
2026-03-04,ONGC.NS,53722773,44532752.0,1.21
2025-04-09,AAPL,184395900,154017443.0,1.2
2024-03-28,BAJFINANCE.NS,35745180,29897673.0,1.2
2024-03-15,HDFCBANK.NS,143613804,119804053.0,1.2
2026-02-04,INFY.NS,28828622,23943711.0,1.2
2024-02-02,LT.NS,7579802,6325807.0,1.2
2023-05-30,NVDA,923401000,766450193.0,1.2
2025-07-08,TITAN.NS,3952270,3287033.0,1.2
2024-07-08,ONGC.NS,53136198,44532752.0,1.19
2025-01-07,ONGC.NS,52956766,44532752.0,1.19
2023-07-19,RELIANCE.NS,39122156,32745293.0,1.19
2023-12-26,WIPRO.NS,54628644,46059400.0,1.19
2025-04-17,WIPRO.NS,54875421,46059400.0,1.19
2025-04-04,JPM,27170700,23091550.0,1.18
2023-07-20,RELIANCE.NS,38717624,32745293.0,1.18
2024-03-19,TCS.NS,8931209,7578173.0,1.18
2024-07-12,WIPRO.NS,54186042,46059400.0,1.18
2023-07-21,AMZN,133307300,114176079.0,1.17
2023-07-14,JPM,27028400,23091550.0,1.17
2023-11-22,NVDA,899420000,766450193.0,1.17
2026-05-12,ONGC.NS,52080828,44532752.0,1.17
2024-08-29,RELIANCE.NS,38335358,32745293.0,1.17
2024-05-09,SBIN.NS,49290254,42034770.0,1.17
2024-07-24,TITAN.NS,3862140,3287033.0,1.17
2026-04-08,TITAN.NS,3834533,3287033.0,1.17
2023-12-15,HDFCBANK.NS,138837130,119804053.0,1.16
2026-02-24,INFY.NS,27839061,23943711.0,1.16
2026-04-08,LT.NS,7368477,6325807.0,1.16
2025-12-19,MSFT,70836100,61018778.0,1.16
2026-04-30,MSFT,70909400,61018778.0,1.16
2024-01-30,ONGC.NS,51491099,44532752.0,1.16
2024-07-15,ONGC.NS,51435537,44532752.0,1.16
2026-04-28,ONGC.NS,51575179,44532752.0,1.16
2025-10-10,TCS.NS,8817365,7578173.0,1.16
2024-07-15,HCLTECH.NS,10337489,9027594.0,1.15
2026-01-06,ITC.NS,72582738,63051976.0,1.15
2024-10-03,RELIANCE.NS,37757294,32745293.0,1.15
2025-11-25,GOOGL,88632100,77926533.0,1.14
2024-05-31,HCLTECH.NS,10319045,9027594.0,1.14
2026-03-20,INFY.NS,27299975,23943711.0,1.14
2023-07-21,MSFT,69405400,61018778.0,1.14
2024-04-19,NVDA,875198000,766450193.0,1.14
2026-05-08,SBIN.NS,48065909,42034770.0,1.14
2024-01-17,AXISBANK.NS,24913719,22115528.0,1.13
2026-02-05,GOOGL,88205800,77926533.0,1.13
2025-08-20,HCLTECH.NS,10219330,9027594.0,1.13
2026-04-30,META,52765000,46842268.0,1.13
2024-02-22,NVDA,865100000,766450193.0,1.13
2024-10-04,RELIANCE.NS,37072876,32745293.0,1.13
2023-12-15,TCS.NS,8531230,7578173.0,1.13
2024-06-11,AAPL,172373300,154017443.0,1.12
2024-01-19,AMD,140367900,125297377.0,1.12
