Stock,AAPL,AMD,AMZN,AXISBANK.NS,BAC,BAJFINANCE.NS,GOOGL,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JPM,LT.NS,META,MSFT,NVDA,ONGC.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,TSLA,WIPRO.NS
AAPL,1.0,0.663,0.817,0.676,0.871,0.633,0.882,0.269,0.47,-0.223,0.668,0.054,-0.479,0.837,0.684,0.691,0.516,0.873,0.424,0.323,0.801,-0.431,0.606,0.834,0.216
AMD,0.663,1.0,0.616,0.608,0.572,0.412,0.817,-0.114,0.0,-0.274,0.297,-0.339,-0.655,0.539,0.597,0.374,0.352,0.649,0.428,0.413,0.655,-0.526,0.738,0.457,-0.207
AMZN,0.817,0.616,1.0,0.621,0.939,0.617,0.794,0.433,0.518,-0.42,0.835,0.126,-0.475,0.929,0.78,0.907,0.756,0.937,0.547,0.463,0.789,-0.325,0.599,0.73,0.432
AXISBANK.NS,0.676,0.608,0.621,1.0,0.708,0.506,0.722,0.289,0.364,-0.19,0.646,0.002,-0.458,0.658,0.82,0.544,0.495,0.729,0.644,0.669,0.87,-0.283,0.752,0.451,0.074
BAC,0.871,0.572,0.939,0.708,1.0,0.709,0.836,0.422,0.632,-0.352,0.873,0.105,-0.482,0.977,0.804,0.9,0.758,0.964,0.512,0.527,0.869,-0.383,0.632,0.792,0.374
BAJFINANCE.NS,0.633,0.412,0.617,0.506,0.709,1.0,0.699,-0.021,0.725,-0.317,0.689,-0.306,-0.524,0.794,0.48,0.645,0.54,0.699,0.016,0.278,0.582,-0.713,0.501,0.752,-0.048
GOOGL,0.882,0.817,0.794,0.722,0.836,0.699,1.0,0.028,0.333,-0.419,0.581,-0.262,-0.76,0.824,0.706,0.614,0.453,0.854,0.386,0.393,0.866,-0.651,0.787,0.775,-0.066
HCLTECH.NS,0.269,-0.114,0.433,0.289,0.422,-0.021,0.028,1.0,0.354,0.002,0.527,0.879,0.311,0.361,0.512,0.535,0.495,0.347,0.517,0.354,0.282,0.568,0.149,0.199,0.882
HDFCBANK.NS,0.47,0.0,0.518,0.364,0.632,0.725,0.333,0.354,1.0,-0.0,0.794,0.15,0.002,0.678,0.367,0.663,0.682,0.583,-0.021,0.288,0.385,-0.26,0.131,0.641,0.36
HINDUNILVR.NS,-0.223,-0.274,-0.42,-0.19,-0.352,-0.317,-0.419,0.002,-0.0,1.0,-0.245,0.306,0.674,-0.394,-0.314,-0.31,-0.069,-0.323,-0.092,-0.026,-0.384,0.411,-0.328,-0.302,0.011
ICICIBANK.NS,0.668,0.297,0.835,0.646,0.873,0.689,0.581,0.527,0.794,-0.245,1.0,0.218,-0.256,0.901,0.702,0.924,0.792,0.867,0.486,0.509,0.733,-0.248,0.436,0.641,0.48
INFY.NS,0.054,-0.339,0.126,0.002,0.105,-0.306,-0.262,0.879,0.15,0.306,0.218,1.0,0.607,0.026,0.201,0.233,0.248,0.027,0.375,0.163,-0.044,0.808,-0.162,-0.032,0.87
ITC.NS,-0.479,-0.655,-0.475,-0.458,-0.482,-0.524,-0.76,0.311,0.002,0.674,-0.256,0.607,1.0,-0.523,-0.383,-0.324,-0.089,-0.522,-0.124,-0.131,-0.63,0.789,-0.657,-0.457,0.395
JPM,0.837,0.539,0.929,0.658,0.977,0.794,0.824,0.361,0.678,-0.394,0.901,0.026,-0.523,1.0,0.756,0.923,0.751,0.961,0.442,0.474,0.833,-0.477,0.617,0.806,0.319
LT.NS,0.684,0.597,0.78,0.82,0.804,0.48,0.706,0.512,0.367,-0.314,0.702,0.201,-0.383,0.756,1.0,0.722,0.68,0.792,0.732,0.682,0.835,-0.128,0.787,0.503,0.345
META,0.691,0.374,0.907,0.544,0.9,0.645,0.614,0.535,0.663,-0.31,0.924,0.233,-0.324,0.923,0.722,1.0,0.834,0.897,0.52,0.483,0.713,-0.24,0.462,0.646,0.531
MSFT,0.516,0.352,0.756,0.495,0.758,0.54,0.453,0.495,0.682,-0.069,0.792,0.248,-0.089,0.751,0.68,0.834,1.0,0.754,0.445,0.659,0.54,-0.097,0.36,0.5,0.498
NVDA,0.873,0.649,0.937,0.729,0.964,0.699,0.854,0.347,0.583,-0.323,0.867,0.027,-0.522,0.961,0.792,0.897,0.754,1.0,0.554,0.52,0.881,-0.448,0.64,0.755,0.283
ONGC.NS,0.424,0.428,0.547,0.644,0.512,0.016,0.386,0.517,-0.021,-0.092,0.486,0.375,-0.124,0.442,0.732,0.52,0.445,0.554,1.0,0.683,0.652,0.221,0.511,0.052,0.397
RELIANCE.NS,0.323,0.413,0.463,0.669,0.527,0.278,0.393,0.354,0.288,-0.026,0.509,0.163,-0.131,0.474,0.682,0.483,0.659,0.52,0.683,1.0,0.6,0.042,0.529,0.116,0.253
SBIN.NS,0.801,0.655,0.789,0.87,0.869,0.582,0.866,0.282,0.385,-0.384,0.733,-0.044,-0.63,0.833,0.835,0.713,0.54,0.881,0.652,0.6,1.0,-0.41,0.776,0.619,0.131
TCS.NS,-0.431,-0.526,-0.325,-0.283,-0.383,-0.713,-0.651,0.568,-0.26,0.411,-0.248,0.808,0.789,-0.477,-0.128,-0.24,-0.097,-0.448,0.221,0.042,-0.41,1.0,-0.432,-0.527,0.605
TITAN.NS,0.606,0.738,0.599,0.752,0.632,0.501,0.787,0.149,0.131,-0.328,0.436,-0.162,-0.657,0.617,0.787,0.462,0.36,0.64,0.511,0.529,0.776,-0.432,1.0,0.472,-0.097
TSLA,0.834,0.457,0.73,0.451,0.792,0.752,0.775,0.199,0.641,-0.302,0.641,-0.032,-0.457,0.806,0.503,0.646,0.5,0.755,0.052,0.116,0.619,-0.527,0.472,1.0,0.178
WIPRO.NS,0.216,-0.207,0.432,0.074,0.374,-0.048,-0.066,0.882,0.36,0.011,0.48,0.87,0.395,0.319,0.345,0.531,0.498,0.283,0.397,0.253,0.131,0.605,-0.097,0.178,1.0
