Stock,Avg_Daily_Return,Volatility,Worst_Day,Best_Day
NVDA,0.264,2.952,-16.968,18.723
AMD,0.248,3.495,-17.314,23.82
TSLA,0.168,3.639,-15.426,22.69
GOOGL,0.167,1.865,-9.509,10.224
META,0.142,2.265,-11.335,20.318
AMZN,0.125,1.948,-8.979,11.977
JPM,0.114,1.436,-8.05,11.545
LT.NS,0.094,1.595,-12.675,7.59
BAC,0.092,1.564,-11.063,8.429
AAPL,0.088,1.623,-9.246,15.329
ONGC.NS,0.086,1.845,-16.825,8.32
SBIN.NS,0.077,1.536,-14.404,9.068
TITAN.NS,0.06,1.394,-7.18,6.526
AXISBANK.NS,0.055,1.468,-7.57,6.631
MSFT,0.052,1.496,-9.993,10.134
BAJFINANCE.NS,0.05,1.674,-7.727,7.193
ICICIBANK.NS,0.045,1.177,-7.634,5.114
RELIANCE.NS,0.026,1.318,-7.485,7.019
HCLTECH.NS,0.019,1.555,-10.817,7.71
WIPRO.NS,0.016,1.633,-9.225,6.601
INFY.NS,-0.004,1.566,-8.134,7.934
HDFCBANK.NS,-0.005,1.242,-8.436,5.712
HINDUNILVR.NS,-0.021,1.211,-7.4,5.96
TCS.NS,-0.043,1.335,-7.013,6.633
ITC.NS,-0.048,1.188,-9.715,5.498
